,created_at,noClean_tweet,location,verified,source,retweet_count,sentiments,word_count,text
30,2019-10-09 12:41:09,"@atriedesP A lot of girls will give everything for good grades, But that is still not an excuse for a lecturer to t… https://t.co/NgS1DGlydZ","Onitsha, Nigeria",False,Twitter for Android,0,positive,24,atriedesp lot girl give everything good grade still excuse lecturer
33,2019-10-09 12:16:01,"I think that by the time the #sex4grades thing ends in plenty suspensions, there will be more female teachers in un… https://t.co/z9f34jWGvQ","Ibadan, Nigeria",False,Twitter Web App,0,neutral,22,think time sex4grades thing end plenty suspension female teacher un
34,2019-10-09 12:14:00,"Next time you're visiting your lecturer in his/her office, just wear ''BBC Africa'' T-shirt #sex4grades",Lagos,False,Twitter for Android,0,neutral,15,next time visiting lecturer office wear bbc africa shirt sex4grades
35,2019-10-09 11:59:42,"I don't feel Kiki should have revealed her identity, Nigeria isn't so secure! I wish her the best. Btw, she can ach… https://t.co/wQlQYklaaq",,False,Twitter for Android,0,positive,23,feel kiki revealed identity nigeria secure wish best btw ach
39,2019-10-09 11:11:24,#SexForGrades #SexForGrade #SexForMarks #STDs #Sex4Grades #SexuallyTransmittedDegrees....whatever we want to call i… https://t.co/z8XK3TvuBl,#KaAnyiMezieALAIGBO #MINDSET ,False,Twitter for Android,0,neutral,12,sexforgrades sexforgrade sexformarks std sex4grades sexuallytransmitteddegrees whatever want call
45,2019-10-09 10:56:14,"Two down... Many many more to go
@BBCAfrica 
#sex4grades https://t.co/Uo1tNdArEQ","Enugu, Nigeria",False,Twitter for Android,0,positive,9,two many many go bbcafrica sex4grades
55,2019-10-09 10:00:19,"@AchinekuTersoo @APOSTLESULEMAN @realDonaldTrump So I’d rather believe U &amp; trump &amp; not media houses abi

Just like… https://t.co/hht5pssG3l",,False,Twitter for iPhone,0,neutral,17,achinekutersoo apostlesuleman realdonaldtrump rather believe u amp trump amp medium house abi like
57,2019-10-09 09:47:35,"✅
Kennedy Ekezie was honored by Queen Elizabeth for raising $2m to start mentorship programs for young Africans all… https://t.co/mvgKlZPrfO",Nigeria,False,Twitter for iPhone,0,positive,19,kennedy ekezie honored queen elizabeth raising 2m start mentorship program young african
59,2019-10-09 09:30:57,The @BBCAfrica had to wait after @BBNaija ... and then boom #sex4grades... https://t.co/MKzVEkydYv,"Edo, Nigeria",False,Twitter for Android,0,neutral,13,bbcafrica wait bbnaija boom sex4grades
60,2019-10-09 09:25:32,Taking actions against those Lecturers only #SexForGrades wont make any difference.  Dress code of ours varsity stu… https://t.co/NESZzHS7qO,Nigeria,False,Twitter for Android,0,positive,19,taking action lecturer sexforgrades wont make difference dress code varsity stu
70,2019-10-09 08:46:58,"@Oshosbisi @asemota There is nothing like ""righteous judgement"" here. 

Only God is just. 

We are all judgemental… https://t.co/hPWl0aJGsF",Nigeria,False,Twitter Web App,4,neutral,18,oshosbisi asemota nothing like righteous judgement god judgemental
80,2019-10-09 08:08:10,The true winners are the ones who win in life. Good morning from @_houseofjersey #HipHopAwards19 #Sex4grades… https://t.co/qlBqpJokDp,Lagos,False,Twitter for Android,0,positive,17,true winner one win life good morning houseofjersey hiphopawards19 sex4grades
86,2019-10-09 07:58:32,I’ll be discussing my thoughts on  #Sex4Grades on @kapital929 FM Abuja from 9am this morning.,A place called peace,False,Twitter for iPhone,10,neutral,16,discussing thought sex4grades kapital929 fm abuja 9am morning
87,2019-10-09 07:52:24,#Sex4Grades in our higher institutions of learning is been investigated but the Rank&amp;Files #WomenPolice are still s… https://t.co/bh9dvxO1RE,South Africa,False,Twitter for iPhone,0,negative,18,sex4grades higher institution learning investigated rank amp file womenpolice still
92,2019-10-09 06:59:35,"There is also SEX-4-PROMOTION and SEX-4-TRAININGS. Let's not pretend. Investigate the Nigerian civil service too.

#sexforgrades #sex4grades",,False,Twitter for Android,0,neutral,16,also sex 4 promotion sex 4 training let pretend investigate nigerian civil service sexforgrades sex4grades
93,2019-10-09 06:58:17,@RymstaRay @ayemojubar ☝️that is what an interview with Kemi Olunloyo looks like. I bet that's how she expected the… https://t.co/X6r32baiTq,"Abuja, Nigeria",False,Twitter for Android,0,negative,20,rymstaray ayemojubar interview kemi olunloyo look like bet expected
97,2019-10-09 06:46:50,"Investigative journalist my foot,  @HNNAfrica aunty kemi u claimed to be an ij but u haven't investigated just one… https://t.co/kZx12EYEc7","Lagos, Nigeria",False,Twitter Web App,0,neutral,21,investigative journalist foot hnnafrica aunty kemi u claimed ij u investigated one
102,2019-10-09 06:32:00,"Now that we have adequately dissected the issue of #Sex4grades in our higher institutions, it will be salutary not… https://t.co/xgYhEIIftX",Port Harcourt,False,Facebook,0,positive,20,adequately dissected issue sex4grades higher institution salutary
103,2019-10-09 06:31:09,"@channelstv Dear Nigerian Journalists, are you really sure that what you are practicing is journalism or something… https://t.co/l8ujqBygiM",,False,Twitter Web App,0,positive,18,channelstv dear nigerian journalist really sure practicing journalism something
105,2019-10-09 06:25:39,"But let justice roll on like a river,
righteousness like a never-failing stream!
Time up for the greedy and perverted.
#sex4grades",,False,Twitter for Android,0,neutral,16,let justice roll like river righteousness like never failing stream time greedy perverted sex4grades
107,2019-10-09 06:11:47,But Nigeria Media houses will be going about seeking politicians to sing their praise and help them fabricate all sort lies. #Sex4Grades,,False,Twitter Web App,0,neutral,22,nigeria medium house going seeking politician sing praise help fabricate sort lie sex4grades
108,2019-10-09 06:10:31,Two BBC's documentaries about Nigeria in the last 1year sparked a National debate across Nigeria and forced governm… https://t.co/XiaxHkuwVY,,False,Twitter Web App,0,negative,19,two bbc documentary nigeria last 1year sparked national debate across nigeria forced governm
110,2019-10-09 05:44:39,"Girl that you will feck and your phone go lost, SARS go harass you, door go jam your hand. Orishirishi misfortune.… https://t.co/4PuSBPrAoG",,False,Twitter for iPhone,1,neutral,22,girl feck phone go lost sars go harass door go jam hand orishirishi misfortune
112,2019-10-09 03:44:38,"University: #sex4grades
NYSC: #sex4posting
Church: #sex4prayers
Office: #sex4job",Jos,False,Facebook,0,neutral,5,university sex4grades nysc sex4posting church sex4prayers office sex4job
117,2019-10-09 02:46:00,"#sex4grades right  from sec school,  some women seem to have made them selves ""available"". The so called bad girls… https://t.co/TD3oi0Ho5x","Portsmouth, England",False,Twitter for Android,1,negative,22,sex4grades right sec school woman seem made self available called bad girl
118,2019-10-09 02:33:43,Another classic on Abuse of Power. #sex4grades https://t.co/sNbux4tyJt,"Kaduna, Nigeria",False,Twitter for Android,0,positive,8,another classic abuse power sex4grades
123,2019-10-09 01:00:55,"Children will soon start seeing their ""strict"" parents at home being dragged for #Sex4Grades","Abuja, Nigeria",False,Twitter for Android,1,neutral,14,child soon start seeing strict parent home dragged sex4grades
126,2019-10-09 00:02:35,"Thank God I have graduated oo , this semester go hard for students. I think a lot of failures will be recorded.. 

#sex4grades #Boniface",Earth,False,Twitter for iPhone,1,negative,24,thank god graduated oo semester go hard student think lot failure recorded sex4grades boniface
127,2019-10-09 00:02:24,@kwadwosheldon Sex for tickets #sex4grades,KNUST-Ghana,False,Twitter for iPhone,0,neutral,5,kwadwosheldon sex ticket sex4grades
128,2019-10-08 23:42:02,UNILAG saying the most in their final statement at the end.... so why has boniface not been permanently dismissed? #Sex4Grades #SexForGrades,,False,Twitter for Android,0,neutral,21,unilag saying final statement end boniface permanently dismissed sex4grades sexforgrades
133,2019-10-08 22:41:27,#Sex4Grades in our various Universities is very alarming. Proper systems must be developed by every university to a… https://t.co/3WpUMaRr9T,"Accra, Ghana",False,Twitter for iPhone,0,neutral,19,sex4grades various university alarming proper system must developed every university
134,2019-10-08 22:39:43,Currently watching #Sex4Grades,,False,Twitter for Android,0,neutral,3,currently watching sex4grades
137,2019-10-08 22:05:23,Port Harcourt born Kiki Mordi is a BBC Africa radio presenter and the head of presenting with women radio FM 9.17.… https://t.co/hPKthWwkSM,Africa,False,Blog2Social APP,0,neutral,22,port harcourt born kiki mordi bbc africa radio presenter head presenting woman radio fm 9 17
142,2019-10-08 21:50:55,Sadly my alma mater is in the news for very wrong reasons 🤦🏽‍♂️ even more sadly that my very department ENL is at t… https://t.co/NZ0ITL85jY,"Lagos, Nigeria",False,Twitter for iPhone,1,negative,25,sadly alma mater news wrong reason even sadly department enl
145,2019-10-08 21:41:40,"Someone said today:  
""Sleeping with your maid is adultery. That's it. Especially if it is consensual.""
""When you b… https://t.co/c3hMoSg4T1",Heart of Gidi,False,Twitter for Android,0,neutral,20,someone said today sleeping maid adultery especially consensual b
148,2019-10-08 21:26:53,#sexforgrades #sex4grades @ Acte de Conscience https://t.co/ZbyjLROGiU,"Ilorin, Nigeria",False,Instagram,0,neutral,7,sexforgrades sex4grades acte de conscience
152,2019-10-08 21:22:55,The BBC documentary on #Sex4Grades only scratches the surface of the menace of sexual exploitation and corruption i… https://t.co/nohGlFvXI4,"Abuja, Nigeria",False,Facebook,2,positive,19,bbc documentary sex4grades scratch surface menace sexual exploitation corruption
154,2019-10-08 21:17:01,After tonight's conversation on radio about #Sex4grades i have come to the conclusion that some  men are sexual pre… https://t.co/SZHzAzFwBH,"Benin-City, Nigeria",False,Twitter for iPhone,3,positive,21,tonight conversation radio sex4grades come conclusion men sexual pre
155,2019-10-08 21:15:20,@marveln1 @zeezish___ Na there mates cover #Sex4grades oh,Nigeria,False,Twitter for Android,0,neutral,8,marveln1 zeezish na mate cover sex4grades oh
156,2019-10-08 21:07:45,Thank you @BBCAfrica for spearheading much-needed radical social change!!! Academic Institutions must protect the r… https://t.co/pYx5ZDFVOQ,"Enugu, Nigeria",False,Twitter for Android,0,positive,16,thank bbcafrica spearheading much needed radical social change academic institution must protect r
158,2019-10-08 21:04:34,"#sex4grades
I repeat your next investigation should be that  department.
The whole world would be shocked by the nu… https://t.co/WIrZVNnwXO",Still loading,False,Twitter Web App,0,negative,19,sex4grades repeat next investigation department whole world would shocked nu
160,2019-10-08 20:52:46,"#sex4grades
#sex4grades
lol, some lecturers from the University of Ilorin, Performing Arts Department are already c… https://t.co/tRKKvuAfsY",Still loading,False,Twitter Web App,0,positive,15,sex4grades sex4grades lol lecturer university ilorin performing art department already c
165,2019-10-08 20:37:54,"The conduct of Prof. Richard Akindele and Dr. Boniface Igbeneghu is moral burden to those  in gowns, and in pulpit.… https://t.co/aX9qjL54LN","Lagos, Nigeria",False,Twitter for Android,0,neutral,22,conduct prof richard akindele dr boniface igbeneghu moral burden gown pulpit
167,2019-10-08 20:32:10,"#Sex4Grades
#BBCAfricaneye 
#ug 
#ucc 
#UDs 
#media 
#ghanaweb https://t.co/BUs4H5mtCn",,False,Twitter for Android,0,neutral,7,sex4grades bbcafricaneye ug ucc uds medium ghanaweb
171,2019-10-08 20:05:58,The fear of #sex4grades https://t.co/e83eZc92Iu,Edo state,False,Twitter for Android,0,neutral,5,fear sex4grades
179,2019-10-08 19:25:25,#Sex4Grades muted for the mean time,GHANA,False,Twitter for Android,0,negative,6,sex4grades muted mean time
183,2019-10-08 18:54:04,After watching #Sex4Grades I feel some type of way. Too many emotions. I Thank @kikimordi and her team for telling… https://t.co/VtCB1vGYZh,"Abuja, Nigeria",False,Twitter for Android,0,positive,21,watching sex4grades feel type way many emotion thank kikimordi team telling
187,2019-10-08 18:47:47,"and the TAs have also managed to learn the trade very well from their bosses; the lecturers.

#sex4grades",DD-AccraGH,False,Facebook,0,neutral,17,ta also managed learn trade well boss lecturer sex4grades
188,2019-10-08 18:41:54,"What about the TA’s ?
Chale, the guys dey diet the girls for campus Chakaaaa!!

#SexforGrades #Sex4Grades #S4G",Ghana,False,Twitter for iPhone,0,neutral,16,ta chale guy dey diet girl campus chakaaaa sexforgrades sex4grades s4g
192,2019-10-08 18:17:50,"@AyanbisiAT Nah...  #Sex4Grades isn't only for schools... I meant across all sectors, this things happen, the hypoc… https://t.co/Q2WRJROvib",Lagos,False,Twitter for Android,0,neutral,19,ayanbisiat nah sex4grades school meant across sector thing happen hypoc
196,2019-10-08 18:05:43,This whole mess of #ColdRoom #Coldroomexperience #sex4grades mess started by Africans not frowning on ogas sleeping… https://t.co/g32CYzaXdm,in the pursuit of happiness,False,Twitter for Android,0,negative,17,whole mess coldroom coldroomexperience sex4grades mess started african frowning ogas sleeping
206,2019-10-08 17:31:54,#Coldroomexperience #sex4grades #BBCAfricaneye #ASUU https://t.co/DWSx4RfnP8,"Lagos, Nigeria",False,Twitter for Android,0,neutral,5,coldroomexperience sex4grades bbcafricaneye asuu
207,2019-10-08 17:29:45,".... #BBCAfrica Please recieve my joyous prayers of blessings and thanksgiving...😇🏅
Thank you for this surgery you… https://t.co/GcFnlsQTfU","Abuja, Nigeria",False,Twitter for Android,0,neutral,17,bbcafrica please recieve joyous prayer blessing thanksgiving thank surgery
210,2019-10-08 17:21:24,"The whole concept of undercover journalism doesn’t conform to our everyday journalistic standards, so why should th… https://t.co/gXLEyOTICI","Accra,Ghana",False,Twitter for iPhone,0,neutral,18,whole concept undercover journalism conform everyday journalistic standard th
211,2019-10-08 17:20:31,"More than 24hours after the release of #Sex4grades, they are now calling for sanctions. Make dem clear road jare. I… https://t.co/Vzac07YfaF","Ibadan,Nigeria",False,Twitter for Android,0,positive,21,24hours release sex4grades calling sanction make dem clear road jare
212,2019-10-08 17:19:46,"Either you accept or not, level of sexual harassment will not reduce until indecent dressing is addressed. #sex4grades",Ibadan,False,Twitter for Android,0,positive,18,either accept level sexual harassment reduce indecent dressing addressed sex4grades
213,2019-10-08 17:15:47,"She was very decently dressed, the undercover 17y/o, #Sex4Grades
Indecent dressing is not the problem. You're your… https://t.co/2AIAvIkMNG",Nigeria,False,Facebook,0,positive,17,decently dressed undercover 17y sex4grades indecent dressing problem
218,2019-10-08 17:07:35,"Isn't it about time that WE demand from ASUU?
#SEX4GRADES",,False,Twitter for Android,1,neutral,9,time demand asuu sex4grades
222,2019-10-08 16:48:28,"Yall should say their names and department,  don't come on here and use incognito...you can only get justice when y… https://t.co/TK1VlNuKZR",x the woods x,False,Twitter for Android,0,neutral,22,yall say name department come use incognito get justice
229,2019-10-08 16:38:14,@koosebor Mr Gyampo get vibes ooo #SEX4GRADES🔥🔥 #puredrive,world wide,False,Twitter for iPhone,1,neutral,8,koosebor mr gyampo get vibe ooo sex4grades puredrive
230,2019-10-08 16:37:28,Omo if this #Sex4Grades gets to Uniport it would be bloody. the school might shut down bcos eh hmm,,False,Twitter for iPhone,0,negative,19,omo sex4grades get uniport would bloody school might shut bcos eh hmm
232,2019-10-08 16:29:24,I don't expect an official statement from @ASUUNGR. They are also guilty of this crime as a body. A statement will… https://t.co/Nt53GdLZ4y,"Lagos, Nigeria",False,Twitter Web App,0,negative,22,expect official statement asuungr also guilty crime body statement
233,2019-10-08 16:25:19,Nigerian lecturers now #sex4grades https://t.co/mVC5Do1Ekx,"Lagos, Nigeria",False,Twitter for Android,0,neutral,5,nigerian lecturer sex4grades
237,2019-10-08 16:16:33,"Nigerians 🇳🇬 joke about everything 🤣
.
#sexforgrades featuring #amechimuonagor 🤣😂👍🏻
.
#sijilagos
#sex4grades… https://t.co/Fq13uIHDbJ",TheJourney,False,Instagram,0,neutral,10,nigerian joke everything sexforgrades featuring amechimuonagor sijilagos sex4grades
238,2019-10-08 16:14:26,@Lady_Qendrah @SheLovesArtemis @Queenprecy_ And that bastard thinks God will not change it for him or his daughter… https://t.co/11OyMm1D2O,New Karu Abuja,False,Twitter Web App,0,neutral,18,lady qendrah shelovesartemis queenprecy bastard think god change daughter
243,2019-10-08 16:08:49,"@ClassicFM943 the guest you had this afternoon to discuss the #Sex4Grades issue was really confused.  

She blamed… https://t.co/oAdtk1vja3",EveryWhere,False,TweetDeck,0,negative,19,classicfm943 guest afternoon discus sex4grades issue really confused blamed
247,2019-10-08 15:48:48,@BBCAfrica #sex4grades https://t.co/ZKRmntnnVs,,False,Twitter for Android,0,neutral,3,bbcafrica sex4grades
248,2019-10-08 15:48:37,"How can you compare a student asking a lecturer for sex to #Sex4Grades? If the lecturer says no, is his future at r… https://t.co/hS5efvLxf7","Lagos, Nigeria",False,Twitter for Android,3,neutral,24,compare student asking lecturer sex sex4grades lecturer say future r
250,2019-10-08 15:34:57,"Let me be your side guy, My wife is out of the country. What was he trying to tell her? Stop defending evil act. He… https://t.co/uKlmWado4k",Ghana,False,Twitter for iPhone,0,negative,26,let side guy wife country trying tell stop defending evil act
255,2019-10-08 15:24:09,#sex4grades just unlocked the most awesome meme thread #Coldroomexperience 🥶🥶😂😂😂😂😂😂 https://t.co/43gJtmOskJ,Here and there ,False,Twitter for iPhone,3,positive,11,sex4grades unlocked awesome meme thread coldroomexperience
276,2019-10-08 14:25:26,@billboardAFR1CA @sarkodie But @BET too ooo why now because we talking about #sex4grades n wanna other artiste drop… https://t.co/MCzVzpKlTQ,"Greater Accra, Ghana",False,Mobile Web (M2),0,neutral,19,billboardafr1ca sarkodie bet ooo talking sex4grades n wanna artiste drop
278,2019-10-08 14:12:05,#Sex4Grades🏃🏻‍♂️ https://t.co/FiM9jEdUAN,dodowa,False,Twitter for iPhone,0,neutral,2,sex4grades
280,2019-10-08 13:52:12,"t least, if the brain can't get the needed marks, pussy can. A won ti pussy cart #pfaunilorin #sex4grades #BBCAfricaneye",Still loading,False,Twitter Web App,3,negative,20,least brain get needed mark pussy ti pussy cart pfaunilorin sex4grades bbcafricaneye
281,2019-10-08 13:51:05,#Sex4Grades: Seun Kuti Calls Out ASUU For Keeping Mute Over Scandal https://t.co/32oXjlFdqJ https://t.co/VShocOPvag,,False,WordPress.com,0,neutral,12,sex4grades seun kuti call asuu keeping mute scandal
287,2019-10-08 13:37:13,"Now that the cold room is out of the picture, ladies better dust your books..
#sex4grades","Yola, Nigeria",False,Twitter Web App,0,negative,15,cold room picture lady better dust book sex4grades
288,2019-10-08 13:34:25,"Gyampological Kiss 💋 

#Sex4grades","Tesano-Accra, Ghana",False,Twitter for iPhone,0,neutral,4,gyampological kiss sex4grades
291,2019-10-08 13:28:18,Is the technology used in #sex4grades different from Ganduje dollars collection? Why do all the top political offic… https://t.co/R8eHSpRFKU,"Yola, Nigeria",False,Twitter for Android,0,positive,19,technology used sex4grades different ganduje dollar collection top political offic
292,2019-10-08 13:24:06,"With the BBC exposure of SEX 4 GRADES, Nigerian media houses are not doing their investigative journalism. 

Balanc… https://t.co/zVHTtjxBnf",,False,Twitter for Android,0,neutral,19,bbc exposure sex 4 grade nigerian medium house investigative journalism balanc
296,2019-10-08 13:11:09,N to we men or boys or guys...we could be next; it myt not be #sex4grades but something just as disgusting n disgra… https://t.co/39Ny33CYGO,"Kumasi, Ghana",False,Twitter for iPhone,0,negative,24,n men boy guy could next myt sex4grades something disgusting n disgra
299,2019-10-08 13:09:12,#Sex4Grades https://t.co/4VenLyFwk1,,False,Twitter for Android,0,neutral,2,sex4grades
307,2019-10-08 12:43:08,You get any experiences to share on #sex4grades https://t.co/nS3S1JimI1,Ghana,False,Twitter for Android,0,neutral,9,get experience share sex4grades
308,2019-10-08 12:41:22,"There is SEX everywhere
#Sex4Miracles in churches
#Sex4Roles in Nollywood
#Sex4Employment in almost all offices, if… https://t.co/2ht9kDATwf","Lagos, Nigeria",False,Twitter for Android,0,neutral,14,sex everywhere sex4miracles church sex4roles nollywood sex4employment almost office
325,2019-10-08 12:20:18,"This UNILAG student says ""It's not right to fail me for your needs"".

#sexforgrades #BBCAfricanEye #SHE @segalink… https://t.co/q2UFlmPuLQ",Nigeria,False,Twitter Web App,2,negative,17,unilag student say right fail need sexforgrades bbcafricaneye segalink
327,2019-10-08 12:14:26,"Let's increase tax in side guys.
Nana Addo's comment on sex for grades 🤣
#BBCAfricaEye #sex4grades
@BBCAfrica… https://t.co/Nvl9stw4u2","Kumasi, Ghana",False,Twitter for Android,0,neutral,15,let increase tax side guy nana addo comment sex grade bbcafricaeye sex4grades bbcafrica
331,2019-10-08 12:11:41,My very dear cousin in Yabatech. #Sex4Grades https://t.co/op9lrYd8xK,lagos,False,Twitter for iPhone,0,neutral,8,dear cousin yabatech sex4grades
332,2019-10-08 12:11:26,"UNILAG students opinion on sex for grades. 

""It's both ways, it's not anybody's fault""

#Sexforgrades #UNILAG… https://t.co/4brSzuou5Q",Nigeria,False,Twitter Web App,4,neutral,16,unilag student opinion sex grade way anybody fault sexforgrades unilag
335,2019-10-08 12:03:50,@impactor456 @fairy_smiles @valydiasmith @myz_oluwabukola @BBCAfrica Haqhaqhaqhaqhaq You're trying so hard to be un… https://t.co/9E0ltm8NzR,Abuja,False,Twitter for Android,0,positive,14,impactor456 fairy smile valydiasmith myz oluwabukola bbcafrica haqhaqhaqhaqhaq trying hard un
348,2019-10-08 11:46:33,"Lecturer's When they Remember that @bbcafrica Eyes is Watching!!
#Japa, E fit be set up 😂😂😂
#Oluomoswp #OluOmoOfIG… https://t.co/nuMZVltJnw","ÜT: 6.6184793,3.3317173",False,Instagram,0,positive,17,lecturer remember bbcafrica eye watching japa e fit set oluomoswp oluomoofig
350,2019-10-08 11:43:14,"She said ""...E"" for Ejaculation. Damn!😄😄😄😄😄😄😄😄😄😄😄😄

#SexuallyTransmittedDegrees #UNILAG
#DrBoniface #Sex4Grades",Worldwide ,False,Twitter for Android,0,neutral,8,said e ejaculation damn sexuallytransmitteddegrees unilag drboniface sex4grades
355,2019-10-08 11:35:56,"With all these listed, so sex should only be between husband and wife. Even sex for pleasure is now a crime.… https://t.co/hysa88HZ00",,False,Twitter for iPhone,0,neutral,22,listed sex husband wife even sex pleasure crime
370,2019-10-08 11:16:11,Breaking: #Sex4Grades Lecturer Saved from Committing Suicide https://t.co/ne56DNTy9o,Lagos-Nigeria,False,Facebook,0,neutral,8,breaking sex4grades lecturer saved committing suicide
373,2019-10-08 11:10:12,#Sex4Grades Adeyeye Olorunfemi wrote the following exposé about libidinal sexcapades of lecturers at UNILAG. The au… https://t.co/UnglayDktQ,,False,Twitter for iPhone,35,neutral,17,sex4grades adeyeye olorunfemi wrote following expo libidinal sexcapade lecturer unilag au
377,2019-10-08 11:05:46,"@BBCAfrica @UN_Women @unwomenafrica @DFID_UK, here is another proof, if any was still required, that #Africa will n… https://t.co/KjJrSjxboj",,False,Twitter Web App,0,neutral,18,bbcafrica un woman unwomenafrica dfid uk another proof still required africa n
381,2019-10-08 11:01:34,@oluremisonaiya @DONJAZZY @BBCAfrica Some young women do. But the lecturers are free to refuse with no penalty whic… https://t.co/VbmjJaspco,Lagos Nigeria,False,Twitter for Android,0,positive,19,oluremisonaiya donjazzy bbcafrica young woman lecturer free refuse penalty whic
397,2019-10-08 10:40:06,#Sex4Grades: I Was Sexually Harassed While In University – Bisi Fayemi https://t.co/gfBSE8oTZx https://t.co/2eD7shPD2u,,False,WordPress.com,0,positive,12,sex4grades sexually harassed university bisi fayemi
407,2019-10-08 10:30:16,"Male students are victims too.

I carried over 2 courses taught by the same lecturer for 2 consecutive sessions. Ea… https://t.co/Qk2EXm2kGs",,False,Twitter for Android,0,negative,20,male student victim carried 2 course taught lecturer 2 consecutive session ea
410,2019-10-08 10:25:53,I make bold to say you all just want to diminish the impact of the work that Kiki Mordi &amp; team put into #Sex4Grades… https://t.co/vUQlc7Rm4A,Nigeria ,True,Twitter for Android,2,positive,25,make bold say want diminish impact work kiki mordi amp team put sex4grades
416,2019-10-08 10:10:13,"#sex4grades is just the alpha... By a decade after those politicians implement their so called ""Comprehensive Sexua… https://t.co/V0t5JLFSwX","Accra, Ghana",False,Twitter Web App,0,neutral,18,sex4grades alpha decade politician implement called comprehensive sexua
424,2019-10-08 10:00:45,Y'all think #sex4grades works only in Nigerian Higher institutes? Most of those girls have been victims since JSS 2 in FG schools!,Ifako lagos,False,Facebook,0,positive,22,think sex4grades work nigerian higher institute girl victim since j 2 fg school
426,2019-10-08 09:58:57,"We always find ways to turn everything serious to humour for this country abeg.. 
Which one be Sexually Transmitted… https://t.co/no9WaTEQoc",Nigeria,False,Twitter for Android,0,positive,20,always find way turn everything serious humour country abeg one sexually transmitted
436,2019-10-08 09:48:43,2/2...of some of our higher institutions of learning lecturers through investigative journalism. @seunokin… https://t.co/jMw9EcWHUw,"LAGOS, NIGERIA",False,Twitter for Android,0,positive,14,2 2 higher institution learning lecturer investigative journalism seunokin
442,2019-10-08 09:46:06,"#sex4grades is trending. Nobody is reacting we are all affected by this. The youthfulness in us is dead, where is t… https://t.co/oDJgJQNor4",,False,Twitter for Android,0,negative,22,sex4grades trending nobody reacting affected youthfulness u dead
448,2019-10-08 09:41:17,She should keep quiet when she has a case as bad as #Sex4Grades??? Besides both issues are unrelated to eachother.… https://t.co/5LmHvXMnLO,"Abuja, Nigeria",False,Twitter Web App,0,negative,21,keep quiet case bad sex4grades besides issue unrelated eachother
